Bird_ID,Species,Region,Habitat,Weather_Condition,Migration_Reason,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Flight_Distance_km,Flight_Duration_hours,Average_Speed_kmph,Max_Altitude_m,Min_Altitude_m,Temperature_C,Wind_Speed_kmph,Humidity_%,Pressure_hPa,Visibility_km,Nesting_Success,Tag_Battery_Level_%,Signal_Strength_dB,Migration_Start_Month,Migration_End_Month,Rest_Stops,Predator_Sightings,Tag_Type,Migrated_in_Flock,Flock_Size,Food_Supply_Level,Tracking_Quality,Migration_Interrupted,Interrupted_Reason,Tagged_By,Tag_Weight_g,Migration_Success,Recovery_Location_Known,Recovery_Time_days,Observation_Counts,Observation_Quality
B4459,Goose,South America,Coastal,Rainy,Climate Change,-82.55451585,-66.36721941,-76.94559945,42.79041569,1863.74,12.6,52.76,3198,197,20.3,36.5,87,993.5,17,No,72,-59.5,Mar,Oct,2,7,Satellite,Yes,61,Low,Fair,Yes,Injury,Researcher_C,9.5,Successful,Yes,26,7,Moderate
B5850,Eagle,Australia,Forest,Clear,Climate Change,-87.23840553,-79.56806791,-25.62572329,64.90305605,2669.5,14.7,51.67,2921,218,-2.1,58.3,59,1012.3,9.3,No,85,-82.4,Sep,Jun,3,4,GPS,Yes,18,Low,Fair,No,N/A,Researcher_C,10.7,Failed,Yes,73,96,Moderate
B8309,Eagle,North America,Coastal,Clear,Climate Change,40.79628492,157.7801695,70.7693654,127.9242533,2825.19,17.5,48.02,4692,725,33.6,34.8,20,973,3.7,Yes,89,-83.4,Oct,May,9,4,Satellite,Yes,482,Low,Fair,Yes,N/A,Researcher_B,22.3,Failed,Yes,64,95,Moderate
B6620,Goose,North America,Mountain,Rainy,Avoid Predators,86.16561926,-56.10238934,-21.51966739,-147.0101419,2367.75,18.6,49.3,5995,454,18.7,52,45,1028.2,2.6,Yes,38,-72.5,Apr,Nov,1,5,Satellite,Yes,263,High,Poor,No,Injury,Researcher_C,13.7,Successful,Yes,58,28,Moderate
B1375,Crane,Africa,Grassland,Rainy,Climate Change,-48.96104756,-12.89349862,-54.91465372,149.3884913,2196.47,18.9,44.79,3923,607,34.5,21.8,23,981.1,10.2,Yes,67,-66.8,Oct,Dec,9,4,Satellite,No,107,Low,Fair,Yes,Injury,Researcher_A,19.4,Successful,No,11,69,Moderate
B8639,Stork,Europe,Forest,Clear,Feeding,4.186082681,-30.52128859,73.37616564,42.76595899,3296.51,19.2,42.84,7313,169,16,39.4,16,975,10,Yes,94,-71.3,Oct,Oct,2,5,Radio,No,299,Low,Good,No,Storm,Researcher_C,25,Failed,Yes,12,34,Low
B1023,Stork,Australia,Mountain,Windy,Climate Change,4.610807554,-31.19923913,-32.5180368,33.45453134,2586.22,19.3,43.28,7043,815,23.3,48.5,74,961.5,4.9,Yes,40,-72.4,Jan,Jun,9,2,Satellite,Yes,495,Low,Fair,No,Lost Signal,Researcher_C,19.2,Failed,Yes,61,10,High
B9335,Eagle,Australia,Grassland,Foggy,Climate Change,12.17164094,-27.85053598,18.30361287,146.2196523,2662.51,19.5,54.11,4427,310,1.6,58.2,93,1042.5,14.5,Yes,90,-59.2,Nov,Jun,6,1,GPS,No,384,High,Fair,No,Predator,Researcher_C,19.1,Successful,Yes,56,99,Low
B9610,Swallow,South America,Urban,Rainy,Breeding,50.11976039,128.6512407,46.00593398,2.830653717,1872.31,19.5,52.23,4929,341,2,6.3,18,981,12.4,Yes,14,-82,Oct,Dec,4,8,Radio,No,1,Low,Excellent,Yes,N/A,Researcher_A,28.7,Successful,Yes,15,11,Low
B1264,Hawk,Africa,Grassland,Foggy,Breeding,-28.6207699,25.08196805,48.70611147,133.1571698,1962.97,19.7,50.64,4260,321,18.9,33.1,94,1027.8,12.2,Yes,69,-54.9,Apr,May,11,6,GPS,Yes,281,Low,Excellent,Yes,N/A,Researcher_A,22.8,Successful,Yes,116,56,Moderate
