Latitude,Longitude,Species,Observation_Counts,Sightings
-90.0,116.8,Swallow,90,1
-89.98,-86.85,Crane,40,1
-89.97,-179.13,Eagle,80,1
-89.89,-80.76,Warbler,1,1
-89.88,7.12,Goose,62,1
-89.88,57.82,Warbler,61,1
-89.85,-41.3,Swallow,64,1
-89.84,8.57,Stork,63,1
-89.82,129.5,Eagle,19,1
-89.78,-54.28,Stork,22,1
-89.77,66.43,Warbler,94,1
-89.77,95.16,Hawk,3,1
-89.75,-145.14,Stork,86,1
-89.75,-4.68,Stork,80,1
-89.73,-21.48,Warbler,61,1
-89.71,-40.5,Warbler,47,1
-89.68,-90.18,Crane,24,1
-89.67,46.86,Eagle,55,1
-89.67,119.22,Hawk,76,1
-89.66,122.64,Hawk,4,1
-89.61,101.89,Warbler,15,1
-89.6,36.55,Hawk,8,1
-89.6,122.83,Eagle,32,1
-89.59,113.77,Stork,89,1
-89.55,-96.35,Stork,94,1
-89.54,-12.95,Goose,76,1
-89.53,-100.66,Goose,69,1
-89.52,90.15,Warbler,76,1
-89.5,95.58,Warbler,24,1
-89.49,-121.94,Swallow,44,1
-89.47,135.32,Goose,78,1
-89.46,-163.01,Eagle,6,1
-89.45,-101.59,Eagle,55,1
-89.45,-11.64,Stork,20,1
-89.44,-8.08,Goose,2,1
-89.42,18.17,Swallow,38,1
-89.41,-176.89,Goose,22,1
-89.4,123.04,Crane,38,1
-89.39,-97.75,Warbler,37,1
-89.39,129.47,Crane,74,1
-89.37,-159.9,Goose,39,1
-89.37,-92.47,Eagle,34,1
-89.37,-6.44,Eagle,58,1
-89.37,-5.36,Swallow,53,1
-89.33,55.09,Warbler,53,1
-89.32,39.16,Warbler,30,1
-89.3,-74.87,Crane,59,1
-89.27,125.72,Goose,87,1
-89.22,40.97,Crane,29,1
-89.22,168.23,Stork,36,1
-89.21,-109.04,Stork,56,1
-89.17,60.08,Hawk,99,1
-89.11,74.92,Swallow,65,1
-89.1,84.23,Warbler,66,1
-89.08,93.61,Stork,23,1
-89.04,87.38,Goose,59,1
-89.04,123.76,Warbler,22,1
-89.02,0.08,Crane,79,1
-89.02,93.3,Swallow,15,1
-89.01,-98.14,Goose,55,1
-89.0,51.36,Goose,66,1
-88.99,-111.82,Eagle,61,1
-88.95,-53.25,Hawk,16,1
-88.95,21.23,Crane,75,1
-88.92,-131.98,Warbler,7,1
-88.92,41.49,Hawk,20,1
-88.9,90.62,Swallow,47,1
-88.9,107.06,Swallow,49,1
-88.87,0.83,Swallow,86,1
-88.86,158.14,Swallow,65,1
-88.85,-124.78,Hawk,8,1
-88.83,-127.68,Stork,60,1
-88.82,-151.65,Swallow,43,1
-88.78,-5.39,Eagle,66,1
-88.78,69.61,Swallow,41,1
-88.76,-55.9,Warbler,64,1
-88.74,-116.45,Swallow,97,1
-88.74,-107.99,Warbler,90,1
-88.74,69.3,Warbler,56,1
-88.74,176.57,Goose,27,1
-88.73,115.94,Eagle,5,1
-88.69,168.06,Stork,28,1
-88.67,54.46,Crane,83,1
-88.67,111.62,Hawk,72,1
-88.64,29.31,Stork,40,1
-88.62,173.73,Stork,69,1
-88.6,-31.22,Hawk,53,1
-88.58,131.36,Eagle,58,1
-88.57,87.75,Warbler,46,1
-88.56,124.72,Eagle,63,1
-88.53,-133.07,Hawk,88,1
-88.52,78.56,Goose,4,1
-88.49,-10.8,Crane,17,1
-88.49,-7.29,Stork,76,1
-88.49,8.39,Crane,75,1
-88.47,-144.85,Warbler,78,1
-88.45,-132.51,Warbler,29,1
-88.45,-73.17,Goose,3,1
-88.45,118.31,Hawk,46,1
-88.44,176.68,Eagle,8,1
-88.4,38.75,Crane,24,1
-88.39,-164.53,Eagle,13,1
-88.39,-44.59,Eagle,21,1
-88.38,92.18,Swallow,68,1
-88.35,1.3,Goose,88,1
-88.32,-122.07,Warbler,31,1
-88.28,-134.85,Warbler,37,1
-88.26,-48.82,Crane,2,1
